,Book-Title,Average-Rating,Count-Ratings,ISBN,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Synopsis
10,A Bend in the Road,1.94,151,0446527785,Nicholas Sparks,2001,Warner Books,http://images.amazon.com/images/P/0446527785.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446527785.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446527785.01.LZZZZZZZ.jpg,"Miles Ryan's life seemed to end the day his wife was killed in a hit-and-run accident two years ago. Missy had been his first love, and Miles fervently believes she will be his last. As a deputy in the North Carolina town of New Bern, Miles Ryan not only grieves for Missy, but also longs to bring the unknown driver to justice. Then Miles meets Sarah Andrews. The second grade teacher of his son, Jonah, Sarah had left Baltimore after a difficult divorce to start over in the gentler surroundings of New Bern. Perhaps it's her own emotional wounds that make her sensitive to the hurt she first sees in Jonah's eyes, and then his father's. Tentatively, Sarah and Miles reach out to each other. Soon they are both laughing for the first time in years . . . and falling in love. Neither will be able to guess how closely linked they are to a shocking secret -- one that will force them to question everything they ever believed in . . . and make a heartbreaking choice that will change their lives forever."
11,A Case of Need,1.74,105,0451183665,Michael Crichton,1994,Signet Book,http://images.amazon.com/images/P/0451183665.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451183665.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451183665.01.LZZZZZZZ.jpg,"Written as Jeffery Hudson in 1968.A Case of Need is Michael Crichton's award-winning debut novel, written shortly after he completed his medical internship. Set against the ever-building pressure and pace of a large Boston medical center, the tensions flare-and explode-when a surgical operation tragically ends in death, raising countless questions. Was it accidental malpractice? A violation of the Hippocratic oath? Or cold-blooded murder?"
12,"A Child Called \It\"": One Child's Courage to Survive""",2.86,117,1558743669,Dave Pelzer,1995,Health Communications,http://images.amazon.com/images/P/1558743669.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558743669.01.LZZZZZZZ.jpg,"This book chronicles the unforgettable account of one of the most severe child abuse cases in California history. It is the story of Dave Pelzer, who was brutally beaten and starved by his emotionally unstable, alcoholic mother: a mother who played tortuous, unpredictable games—games that left him nearly dead. He had to learn how to play his mother's games in order to survive because she no longer considered him a son, but a slave; and no longer a boy, but an ""it."" Dave's bed was an old army cot in the basement, and his clothes were torn and raunchy. When his mother allowed him the luxury of food, it was nothing more than spoiled scraps that even the dogs refused to eat. The outside world knew nothing of his living nightmare. He had nothing or no one to turn to, but his dreams kept him alive—dreams of someone taking care of him, loving him and calling him their son."
13,A Civil Action,1.1,80,0679772677,JONATHAN HARR,1996,Vintage,http://images.amazon.com/images/P/0679772677.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679772677.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679772677.01.LZZZZZZZ.jpg,"A Civil Action is a non-fiction book by Jonathan Harr about a water contamination case in Woburn, Massachusetts, in the 1980s. After finding that her child is diagnosed with leukemia, Anne Anderson notices a high prevalence of leukemia, a relatively rare disease, in her city. Eventually she gathers other families and seeks a lawyer, Jan Schlichtmann, to consider their options.Schlichtmann originally decides not to take the case due to both the lack of evidence and a clear defendant. Later picking up the case, Schlichtmann finds evidence suggesting trichloroethylene (TCE) contamination of the town's water supply by Riley Tannery, a subsidiary of Beatrice Foods; a chemical company, W. R. Grace; and another company named Unifirst.In the course of the lawsuit Schlichtmann gets other attorneys to assist him. He spends lavishly as he had in his prior lawsuits, but the length of the discovery process and trial stretch all of their assets to their limit."
14,A Confederacy of Dunces (Evergreen Book),2.13,52,0802130208,John Kennedy Toole,1987,Grove Press,http://images.amazon.com/images/P/0802130208.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0802130208.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0802130208.01.LZZZZZZZ.jpg,"Alternate cover for this ISBN can be found here""A green hunting cap squeezed the top of the fleshy balloon of a head. The green earflaps, full of large ears and uncut hair and the fine bristles that grew in the ears themselves, stuck out on either side like turn signals indicating two directions at once. Full, pursed lips protruded beneath the bushy black moustache and, at their corners, sank into little folds filled with disapproval and potato chip crumbs.""Meet Ignatius J. Reilly, the hero of John Kennedy Toole's tragicomic tale, A Confederacy of Dunces. This 30-year-old medievalist lives at home with his mother in New Orleans, pens his magnum opus on Big Chief writing pads he keeps hidden under his bed, and relays to anyone who will listen the traumatic experience he once had on a Greyhound Scenicruiser bound for Baton Rouge. (""Speeding along in that bus was like hurtling into the abyss."") But Ignatius's quiet life of tyrannizing his mother and writing his endless comparative history screeches to a halt when he is almost arrested by the overeager Patrolman Mancuso--who mistakes him for a vagrant--and then involved in a car accident with his tipsy mother behind the wheel. One thing leads to another, and before he knows it, Ignatius is out pounding the pavement in search of a job.Over the next several hundred pages, our hero stumbles from one adventure to the next. His stint as a hotdog vendor is less than successful, and he soon turns his employers at the Levy Pants Company on their heads. Ignatius's path through the working world is populated by marvelous secondary characters: the stripper Darlene and her talented cockatoo; the septuagenarian secretary Miss Trixie, whose desperate attempts to retire are constantly, comically thwarted; gay blade Dorian Greene; sinister Miss Lee, proprietor of the Night of Joy nightclub; and Myrna Minkoff, the girl Ignatius loves to hate. The many subplots that weave through A Confederacy of Dunces are as complicated as anything you'll find in a Dickens novel, and just as beautifully tied together in the end. But it is Ignatius--selfish, domineering, and deluded, tragic and comic and larger than life--who carries the story. He is a modern-day Quixote beset by giants of the modern age. His fragility cracks the shell of comic bluster, revealing a deep streak of melancholy beneath the antic humor. John Kennedy Toole committed suicide in 1969 and never saw the publication of his novel. Ignatius Reilly is what he left behind, a fitting memorial to a talented and tormented life."
15,A Cry In The Night,1.68,60,0671886665,Mary Higgins Clark,1993,Pocket,http://images.amazon.com/images/P/0671886665.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671886665.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671886665.01.LZZZZZZZ.jpg,"When Jenny MacPartland meets the man of her dreams while working in a New York art gallery, she's ecstatic. Painter Erich Krueger  whose exquisite landscapes are making him a huge success  is handsome, sensitive...and utterly in love with her. They marry quickly and Jenny plans a loving home on Erich's vast Minnesota farm. But lonely days and eerie nights strain her nerves to the breaking point and test her sanity. Caught in a whirlpool of shattering events, Jenny soon unearths a past more terrifying than she dares imagine...tragic secrets that threaten her marriage, her children, her life."
16,A Dangerous Fortune,0.95,55,0385311214,Ken Follett,1993,Bantam Dell Pub Group,http://images.amazon.com/images/P/0385311214.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385311214.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385311214.01.LZZZZZZZ.jpg,"In 1866, tragedy strikes at the exclusive Windfield School. A young student drowns in a mysterious accident involving a small circle of boys. The drowning and its aftermath initiates a spiraling circle of treachery that will span three decades and entwine many loves... From the exclusive men's club and brothels that cater to every dark desire of London's upper classes to the dazzling ballrooms and mahogany-paneled suites of the manipulators of the world's wealth, Ken Follett conjures up a stunning array of contrasts. This breathtaking novel portrays a family splintered by lust, bound by a shared legacy... men and women swept toward a perilous climax where greed, fed by the shocking truth of a boy's death, must be stopped, or not just one man's dreams, but those of a nation, will die..."
17,A Darkness More Than Night,1.92,66,0446667900,Michael Connelly,2002,Warner Vision,http://images.amazon.com/images/P/0446667900.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446667900.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446667900.01.LZZZZZZZ.jpg,"Terry McCaleb, the retired FBI agent who starred in the bestseller ""Blood Work,"" is asked by the LAPD to help them investigate aseries of murders that have them baffled. They are the kind of ritualized killings McCaleb specialized in solving with the FBI, and he is reluctantly drawn from his peaceful new life back into the horror and excitement of tracking down a terrifying homicidal maniac. More horrifying still, the suspect who seems to fit the profile that McCaleb develops is someone he has known and worked with in the past: LAPD homicide detective Harry Bosch."
18,A Day Late and a Dollar Short,1.2,59,0451204948,Terry McMillan,2002,Signet Book,http://images.amazon.com/images/P/0451204948.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451204948.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451204948.01.LZZZZZZZ.jpg,"Much-heralded and long awaited, Terry McMillan's tour-de-force novel introduces the Price family-matriarch Viola, her sometimes-husband Cecil, and their four adult kids, each of whom sees life-and one another-through thick and thin, and entirely on their own terms. With her hallmark exuberance and cast of characters so sassy, resilient, and full of life that they breathe, dream, and shout right off the page."
19,A Fine Balance,1.76,76,140003065X,Rohinton Mistry,2001,Vintage Books USA,http://images.amazon.com/images/P/140003065X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/140003065X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/140003065X.01.LZZZZZZZ.jpg,"With a compassionate realism and narrative sweep that recall the work of Charles Dickens, this magnificent novel captures all the cruelty and corruption, dignity and heroism, of India. The time is 1975. The place is an unnamed city by the sea. The government has just declared a State of Emergency, in whose upheavals four strangers--a spirited widow, a young student uprooted from his idyllic hill station, and two tailors who have fled the caste violence of their native village--will be thrust together, forced to share one cramped apartment and an uncertain future. As the characters move from distrust to friendship and from friendship to love, A Fine Balance creates an enduring panorama of the human spirit in an inhuman state."
20,A Girl Named Zippy: Growing Up Small in Mooreland Indiana (Today Show Book Club #3),1.74,54,0767915054,HAVEN KIMMEL,2002,Broadway Books,http://images.amazon.com/images/P/0767915054.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767915054.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767915054.01.LZZZZZZZ.jpg,"When Haven Kimmel was born in 1965 in Mooreland, Indiana, it was a sleepy little hamlet of three hundred people. Nicknamed ""Zippy"" for the way she would bolt around the house, this small girl was possessed of big eyes and even bigger ears. In this witty and lovingly told memoir, Kimmel takes readers back to a time when small-town America was caught in the amber of the innocent postwar period—people helped their neighbors, went to church on Sunday, and kept barnyard animals in their backyards.To three-year-old Zippy, it made perfect sense to strike a bargain with her father to keep her baby bottle—never mind that when she did, it was the first time she'd ever spoken. In her nonplussed family, Zippy has the perfect supporting cast: her beautiful yet dour brother, Danny, a seeker of the true faith; her sweetly sensible sister, Lindy, who wins the local beauty pageant; her mother, Delonda, who dispenses wisdom from the corner of the couch; and her father, Bob Jarvis, who never met a bet he didn't like.Whether describing a serious case of chicken love, another episode with the evil Edythe across the street, or the night Zippy's dad borrowed thirty-six coon dogs and a raccoon to prove to the complaining neighbors just how quiet his two dogs were, Kimmel treats readers to a heroine who is wonderfully sweet and shy as she navigates the quirky adult world surrounding Zippy."
21,A Great Deliverance,1.5,64,0553278029,Elizabeth George,1989,Bantam Books,http://images.amazon.com/images/P/0553278029.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553278029.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553278029.01.LZZZZZZZ.jpg,"To this day, the low, thin wail of an infant can be heard in Keldale's lush green valleys. Three hundred years ago, as legend goes, the frightened Yorkshire villagers smothered a crying babe in Keldale Abbey, where they'd hidden to escape the ravages of Cromwell's raiders.Now into Keldale's pastoral web of old houses and older secrets comes Scotland Yard Inspector Thomas Lynley, the eighth earl of Asherton. Along with the redoubtable Detective Sergeant Barbara Havers, Lynley has been sent to solve a savage murder that has stunned the peaceful countryside. For fat, unlovely Roberta Teys has been found in her best dress, an axe in her lap, seated in the old stone barn beside her father's headless corpse. Her first and last words were ""I did it. And I'm not sorry.""Yet as Lynley and Havers wind their way through Keldale's dark labyrinth of secret scandals and appalling crimes, they uncover a shattering series of revelations that will reverberate through this tranquil English valley—and in their own lives as well."
22,A Heartbreaking Work of Staggering Genius,2.07,90,0375725784,Dave Eggers,2001,Vintage Books USA,http://images.amazon.com/images/P/0375725784.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.LZZZZZZZ.jpg,"'When you read his extraordinary memoir you don't laugh, then cry, then laugh again; you somehow experience these emotions all at once.'""Well, this was when Bill was sighing a lot. He had decided that after our parents died he just didn't want any more fighting between what was left of us. He was twenty-four, Beth was twenty-three, I was twenty-one, Toph was eight, and all of us were so tried already, from that winter. So when something would come up, any little thing, some bill to pay or decision to make, he would just sigh, his eyes tired, his mouth in a sorry kind of smile. But Beth and I...Jesus, we were fighting with everyone, anyone, each other, with strangers at bars, anywhere -- we were angry people wanting to exact revenge. We came to California and we wanted everything, would take what was ours, anything within reach. And I decided that little Toph and I, he with his backward hat and long hair, living together in our little house in Berkeley, would be world-destroyers. We inherited each other and, we felt, a responsibility to reinvent everything, to scoff and re-create and drive fast while singing loudly and pounding the windows. It was a hopeless sort of exhilaration, a kind of arrogance born of fatalism, I guess, of the feeling that if you could lose a couple of parents in a month, then basically anything could happen, at any time -- all bullets bear your name, all cars are there to crush you, any balcony could give way; more disaster seemed only logical. And then, as in Dorothy's dream, all these people I grew up with were there, too, some of them orphans also, most but not all of us believing that what we had been given was extraordinary, that it was time to tear or break down, ruin, remake, take and devour. This was San Francisco, you know, and everyone had some dumb idea -- I mean, wicca? -- and no one there would tell you yours was doomed. Thus the public nudity, and this ridiculous magazine, and the Real World tryout, all this need, most of it disguised by sneering, but all driven by a hyper-awareness of this window, I guess, a few years when your muscles are taut, coiled up and vibrating. But what to do with the energy? I mean, when we drive, Toph and I, and we drive past people, standing on top of all these hills, part of me wants to stop the car and turn up the radio and have us all dance in formation, and part of me wants to run them all over."""
23,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),2.15,177,0553279912,SUE GRAFTON,1987,Bantam,http://images.amazon.com/images/P/0553279912.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553279912.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553279912.01.LZZZZZZZ.jpg,"A IS FOR AVENGER. A tough-talking former cop, private investigator Kinsey Millhone has set up a modest detective agency in a quiet corner of Santa Teresa, California. She's a twice-divorced loner with few personal possessions and fewer personal attachments but with a soft spot for underdogs and lost causes.A IS FOR ACCUSED. That's why she draws desperate clients like Nikki Fife. Eight years ago, she was convicted of killing her philandering husband. Now she's out on parole and needs Kinsey's help to find the real killer. But after all this time, clearing Nikki's bad name won't be easy.A IS FOR ALIBI. If there's one thing that makes Kinsey Millhone feel alive, it's playing on the edge. When her investigation turns up a second corpse, more suspects, and a new reason to kill, Kinsey discovers that the edge is closer--and sharper--than she imagined.Librarian's note: there are 25 titles in this extraordinary series: ""A"" Is for Alibi (1982); ""B"" Is for Burglar (1985); ""C"" Is for Corpse (1986); ""D"" Is for Deadbeat (1987); ""E"" Is for Evidence (1988); ""F"" Is for Fugitive (1989); ""G"" Is for Gumshoe (1990); ""H"" Is for Homicide (1991); ""I"" Is for Innocent (1992); ""J"" Is for Judgment (1993); ""K"" Is for Killer (1994); ""L"" is for Lawless (1995); ""M"" Is for Malice (1996); ""N"" Is for Noose (1998); ""O"" Is for Outlaw (1999); ""P"" Is for Peril (2001); ""Q"" Is for Quarry (2002); ""R"" Is for Ricochet (2004); ""S"" Is for Silence (2005); ""T"" Is for Trespass (2007); ""U"" Is for Undertow (2009); ""V"" Is for Vengeance (2011); ""W"" Is for Wasted (2013); ""X"" (2015), and lastly, “Y” Is for Yesterday (2017). Work on ""Z"" had not begun at the time of the author's death in late 2017."
24,A Knight in Shining Armor,3.89,53,0671705091,Jude Deveraux,1990,Pocket,http://images.amazon.com/images/P/0671705091.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671705091.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671705091.01.LZZZZZZZ.jpg,"an alternate cover editions can be found here and hereNew York Times bestselling author Jude Deveraux will capture your heart with signature classic novel, a time-travel romance featuring a present-day heroine and a dashing hero from the sixteenth century!Abandoned by a cruel fate, lovely Dougless Montgomery lies weeping upon a cold tombstone in an English church. Suddenly, the most extraordinary man appears. It is Nicholas Stafford, Earl of Thornwyck…and according to his tombstone he died in 1564.Drawn to his side by a bond so sudden and compelling it overshadows reason, Dougless knows that Nicholas is nothing less than a miracle: a man who does not seek to change her, who finds her perfect, fascinating, just as she is. What Dougless never imagined was how strong the chains are that tie them to the past…or the grand adventure that lay before them.Hailed worldwide as one of the most romantic novels of all time, A Knight in Shining Armor is “a glorious love story that spans centuries, worlds, and souls. It is the epitome of every woman’s fantasy” (Chicago Daily Herald)."
25,A Lesson Before Dying (Vintage Contemporaries (Paperback)),1.96,81,0375702709,Ernest J. Gaines,1997,Vintage Books USA,http://images.amazon.com/images/P/0375702709.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375702709.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375702709.01.LZZZZZZZ.jpg,"A Lesson Before Dying is set in a small Cajun community in the late 1940s. Jefferson, a young black man, is an unwitting party to a liquor store shoot out in which three men are killed; the only survivor, he is convicted of murder and sentenced to death. Grant Wiggins, who left his hometown for the university, has returned to the plantation school to teach. As he struggles with his decision whether to stay or escape to another state, his aunt and Jefferson's godmother persuade him to visit Jefferson in his cell and impart his learning and his pride to Jefferson before his death. In the end, the two men forge a bond as they both come to understand the simple heroism of resisting and defying the expected. Ernest J. Gaines brings to this novel the same rich sense of place, the same deep understanding of the human psyche, and the same compassion for a people and their struggle that have informed his previous, highly praised works of fiction."
26,A Light in the Window (The Mitford Years),2.14,64,0140254544,Jan Karon,1996,Penguin Books,http://images.amazon.com/images/P/0140254544.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140254544.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140254544.01.LZZZZZZZ.jpg,- Readers will enjoy a story from the popular series-packaged bestseller!- Includes new Reader's Guide for group discussion or personal reflection
